,0
191,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
192,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
193,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
194,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
195,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
196,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
197,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
198,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
199,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
200,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
201,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
202,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
203,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
204,"['cantautor', 'latin rock', 'spanish folk rock', 'spanish indie pop', 'spanish noise pop']"
205,"['art rock', 'classic uk pop', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop']"
206,"['art rock', 'classic uk pop', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop']"
207,"['art rock', 'classic uk pop', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop']"
208,"['art rock', 'classic uk pop', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop']"
209,"['art rock', 'classic uk pop', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop']"
210,"['art rock', 'classic uk pop', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop']"
211,"['art rock', 'classic uk pop', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop']"
212,"['art rock', 'classic uk pop', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop']"
213,"['art rock', 'classic uk pop', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop']"
214,"['melodic metal', 'neo classical metal', 'power metal', 'progressive power metal', 'swedish power metal']"
