,Rank,Artist,Album,Date,Genres,RYM Rating,Ratings,Reviews
25,26,Gil Scott-Heron,Pieces of a Man,September 1971,Soul,3.93,5483,69
26,27,Yes,The Yes Album,29 January 1971,Progressive Rock,3.89,10882,227
27,28,Caravan,In the Land of Grey and Pink,8 April 1971,"Canterbury Scene, Progressive Rock",3.91,6900,169
28,29,John Coltrane,Sun Ship,August 1971,"Spiritual Jazz, Avant-Garde Jazz",3.92,2913,35
29,30,Genesis,Nursery Cryme,12 November 1971,"Progressive Rock, Symphonic Prog",3.85,8835,194
30,31,Wiener Philharmoniker / Karl Böhm,Symphonie Nr. 6 »Pastorale«,1971,"Symphony, Romanticism",3.92,332,7
31,32,LaSalle Quartett,Neue Wiener Schule: Die Streichquartette,1971,"Serialism, Chamber Music",3.90,698,10
32,33,Serge Gainsbourg,Histoire de Melody Nelson,24 March 1971,"French Pop, Art Pop",3.83,8480,180
33,34,Ennio Morricone,Giù la testa,October 1971,"Film Score, Spaghetti Western",3.90,622,12
34,35,Santana,Santana III,September 1971,Latin Rock,3.88,2929,60
35,36,Roy Harper,Stormcock,May 1971,"Progressive Folk, Singer-Songwriter",3.85,3393,79
36,37,Carole King,Tapestry,March 1971,"Singer-Songwriter, Soft Rock",3.82,6765,179
37,38,Fabrizio De André,Non al denaro non all'amore né al cielo,October 1971,Canzone d'autore,3.86,2014,28
38,39,Baby Huey,The Baby Huey Story: The Living Legend,February 1971,"Chicago Soul, Funk",3.85,2239,37
39,40,John Prine,John Prine,October 1971,"Country, Singer-Songwriter, Contemporary Folk",3.82,3271,74
